tr	483761995247013888
gu	483762259479785472
und	483762464467595264
und	483762799080775680
und	483763051137486848
und	483763128577306624
el	483763176933052417
fa	483763338204438528
hr	483763565636354048
und	483763659660070912
ta	483763699455234048
ckb	483763712474771457
ur	483764355964485632
hi-Latn	483764431223263232
el	483764811910901762
id	483764849294336001
ps	483765450245804032
und	483765461520498693
und	483765998021906432
und	483766279958822912
km	483766419025559552
zh-TW	483766738010398720
en	483767405278007298
ta	483767508457906176
es	483767627433914368
zh-CN	483767872263426048
tr	483768124568010752
not_it	483768319162712065
und	483768359230918657
und	483768364280860672
ja	483768444760776704
sv	483768549601988608
und	483768798923993088
es	483769113140281344
und	483769326315376640
und	483769464778133505
und	483769474332778496
und	483769583803711488
fr	483769883415838720
not_fi	483770021294768128
ja	483770068925300738
not_sl	483770187251216384
ru	483770432789950464
hy	483770582316486656
not_ht	483770693058719744
my	483770948051406848
und	483771247847686144
ne	483771264650448896
tl	483771301946204161
en	483771382975590401
am	483771846580375552
und	483772405710467072
zh-CN	483772435431313408
my	483773231472472064
und	483773933305733122
ja	483774085126561792
en	483774524769730560
ar	483774754852048896
my	483774954471575553
ne	483775111921545216
km	483775620980441088
und	483775723627233281
not_ht	483775814953996288
not_fi	483775826757160961
zh-CN	483777013602189312
und	483777184117821441
und	483777387373400064
en	483777555217281024
km	483777999813103616
si	483778289828634625
not_fi	483779683134488576
ps	483779744459005952
zh-TW	483779786288803840
zh-TW	483780301131223040
he	483780590815023104
ar	483780961377587201
pt	483781094169657344
und	483781286985613312
en	483781389284679680
km	483781495169875968
pt	483781770249510912
en	483781864604188672
und	483782299931013122
es	483782367405162497
si	483782397083648000
ja	483782733785600000
und	483782999465418753
und	483783237597003776
tr	483783351690870784
kn	483783393679638528
en	483783561141833728
ru	483783703865610241
en	483783863282307072
not_no	483783863282307072
ja	483783922522652672
not_sr	483783989459943424
und	483784082468655105
it	483784317005754368
ar	483784321392603137
sd	483784825573490688
pt	483785232257388545
und	483785357587382273
en	483786132438532096
und	483787044247056385
ru	483787169182404608
en	483787470493192193
kn	483787528169091072
ne	483788825333104641
en	483788931683848192
gu	483789193781313536
eu	483789410123517952
te	483789652583665664
not_ht	483789728026595328
el	483789734225784833
he	483790052778971136
es	483790131279962113
ka	483790402303311873
und	483790757728632832
te	483791750696554496
km	483791869667991553
und	483792122710327296
vi	483792306886021120
not_eu	483792374813192192
en	483792818226200577
not_sk	483792985197645825
pa	483793060107534338
hi	483793062410194945
ne	483793189787402241
km	483793278761185280
not_und	483793290962022400
und	483793315599376384
mr	483793362856976384
en	483793595766689793
am	483794016769568769
pl	483794211666673665
not_ht	483794401869983744
he	483794410925068288
ar	483794637199781888
pt	483794675904835584
lo	483795159742550017
ar	483795257075974144
km	483795279708041217
pt	483795282581528576
tl	483795314592083968
und	483795593480142850
und	483795596483244032
und	483795864029495296
pa	483795906727526401
gu	483796558253932544
not_pl	483797038132654080
si	483797199051296768
zh-TW	483797368668581889
pt	483797451229650945
ja	483797558976729090
not_is	483797571027341312
ja	483797585199525888
hi	483798027048869888
not_it	483798254006439937
und	483798299238211584
bn	483798468973326337
id	483798734069710848
mr	483798920297205761
et	483799102417674240
ko	483799183820730368
lo	483799199641632768
und	483799480064802817
und	483799519386017793
zh-TW	483799655047004160
lt	483800039777910784
not_sl	483800688410243072
km	483801190207991810
en	483801430495473665
my	483802061411467264
hi	483802115714711552
id	483802119179210754
en	483802164549402624
fa	483802529554116608
und	483802666972090368
my	483803461096452096
el	483803737962450944
pt	483803906212782080
ta	483803950131314688
und	483804218986598400
und	483804568615006209
und	483804754339201024
es	483804804700184576
not_pl	483805113946218497
pt	483805236872888320
not_sr	483805571787665408
pa	483805637361799168
ru	483805754970112000
not_sr	483806156025233408
und	483806358072864768
es	483806573043941376
lo	483806639875559424
km	483806857593499649
und	483807180479410176
ru	483807242312253441
und	483807268694007808
ps	483807778948268033
my	483808039456485376
ne	483808403962494976
es	483808453249748992
sr	483809173852147718
ru	483809275375280128
en	483809660395212800
pt	483810352048914432
und	483810383254536193
und	483810744216354817
pa	483810991877414912
und	483811042527420417
und	483811094880739330
und	483811410724802560
km	483811990528614400
en	483812159265468416
ta	483812260687515649
km	483812662724149249
id	483812893649928193
sd	483813079642173441
not_nl	483813145484738561
und	483813187653861378
und	483813245829263360
my	483813953588310017
zh-CN	483814318413455360
hi	483814499812515840
en	483814544301498368
not_sl	483815022838415360
und	483815065582202880
kn	483815162110291969
zh-CN	483815166996279296
mr	483815399276818432
ru	483815407824826368
ml	483815555363643392
zh-TW	483815966095474688
ar	483816359206592513
en	483816362192547840
ms	483816548973293568
km	483817558706245632
ru	483817935816101889
ko	483818487899357186
bn	483819172569182208
not_eu	483819305134342147
pt	483819727811522560
und	483819742864879616
hi	483820074860441600
und	483820211846795264
und	483820340590546944
te	483820444806430720
ta	483820563605884928
und	483820624242937856
tr	483821204055527425
und	483822057764175873
en	483822184713158657
ne	483822198105186305
hi-Latn	483822261590175744
und	483822310806544384
es	483822458534109184
zh-TW	483822499277590528
es	483822859962171392
und	483823087461232640
hi-Latn	483823178041397250
si	483823462755352577
not_eu	483823512428486656
ne	483823556212441089
not_fi	483823804771078144
gu	483824129770942464
en	483824467693420544
ar	483824494457286656
und	483824545737236480
ar	483824659222511616
sd	483824984783978496
da	483825171867111424
hi	483825400079187971
zh-TW	483825526394478592
und	483826124724908032
en	483826356934176769
not_fi	483826406648852480
und	483826408079519745
vi	483826441726197760
si	483827131517255680
und	483827250014720002
zh-TW	483827268293120000
und	483827288102797312
und	483827406998749184
und	483827449587716096
bn	483827936588333056
ne	483827989944094720
lo	483828079471906816
und	483828157544271872
id	483828662626562049
ja	483828876775133185
es	483829281525485568
gu	483829341092990976
ar	483829669922226177
vi	483829860763455488
kn	483830085624279040
en	483830105652076545
ru	483831038368841728
not_fi	483831159395057665
it	483831228060405761
ar	483831266543161344
ja	483831396205461504
bg	483831506411216896
si	483831790612656129
not_sr	483832300233588736
uk	483832535823437824
km	483832566957756417
und	483832710285496320
und	483832713536090112
ka	483833531421171712
hy	483833758085562371
ru	483833881440026624
sd	483834126923874304
ne	483834300928774145
km	483834313415221249
my	483834542688452608
lo	483834777821138946
fi	483835009166737408
und	483835232433737728
vi	483835443474350080
km	483835529080111104
hi	483835903664996353
te	483836092131446784
en	483836438912315393
ko	483836639928537089
und	483837030799912960
not_ht	483837481482465280
km	483837522146230272
id	483837583940526081
not_eu	483837766648995840
ps	483837874983297026
en	483838169419227136
en	483838191758110720
und	483838548454670336
en	483838902755553280
id	483838999878828032
en	483840023670685696
und	483840446523645952
my	483840474780676096
hi-Latn	483840548693086208
ko	483840763747241985
id	483840824317607936
gu	483841007973584896
kn	483841405941334016
es	483841547646283776
si	483841968124854273
my	483841998248370177
en	483842016753631232
ru	483842392487768064
vi	483842859334762497
vi	483842885918289920
sr	483843064235323393
si	483843066277933058
am	483843147617693696
ja	483843556340015104
ps	483843558214889472
und	483843638934654976
sd	483843674741440513
ps	483843875111317505
gu	483844110709981184
es	483844136613597184
km	483844223691550720
en	483844849104220160
bn	483844940288368640
zh-TW	483844954775506944
hi	483845078616915968
und	483845121700417536
und	483845383081054209
und	483845510332035072
ta	483845513632940032
ru	483845790440255488
en	483845872019460096
hy	483845935827795968
te	483846119865073664
und	483846132360306688
not_sr	483846186370355200
hy	483846245794848768
si	483846488833802240
ta	483846539714887680
und	483846880812470272
fa	483846909459988480
ps	483846935829565440
kn	483847201123082240
